"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
2002,"rural",4741.33972090706,4264.15279922688,4741.33972090706,4879.99756104096,4904.71354450022,4879.99756104096
2002,"small/mid",5100.94486867567,4620.1611250202,5100.94486867567,4917.35509278396,4934.40539963197,4917.35509278396
2002,"suburb",3550.94868348965,3954.60106678252,3550.94868348965,2887.54738912478,4285.27481765855,2887.54738912478
2002,"urban",4287.2742757504,5254.24719462263,4287.2742757504,3467.5005009377,4734.79650300984,3467.5005009377
2003,"rural",4660.54896700679,4137.66075253673,4660.54896700679,4959.31121470375,5041.46268886476,4959.31121470375
2003,"small/mid",5010.84284792586,4527.34198925073,5010.84284792586,4807.62662357999,4852.91580313605,4807.62662357999
2003,"suburb",3610.87726375034,4013.06049050101,3610.87726375034,2982.60056822179,4431.11519124771,2982.60056822179
2003,"urban",4239.77453600341,5005.18339630191,4239.77453600341,3352.5578925521,4462.70336310159,3352.5578925521
2004,"rural",4646.45933591606,4120.05186433566,4646.45933591606,5282.13548226767,5437.80385651001,5282.13548226767
2004,"small/mid",5131.25253984584,4686.72646557779,5131.25253984584,5237.60327487533,5181.76393691317,5237.60327487533
2004,"suburb",3659.43745608748,4109.43295548029,3659.43745608748,3567.83039417383,4938.03507650325,3567.83039417383
2004,"urban",4333.72234857997,5199.71250617198,4333.72234857997,3917.24026399727,5167.74439414624,3917.24026399727
2005,"rural",4772.93640150691,4179.79363863201,4772.93640150691,5292.00056930664,5388.17256664922,5292.00056930664
2005,"small/mid",5136.93139513233,4669.35117195636,5136.93139513233,5082.35141605169,5137.51239963782,5082.35141605169
2005,"suburb",3707.33995085169,4164.00232061005,3707.33995085169,3072.24466861521,4643.66599785865,3072.24466861521
2005,"urban",4351.57831156276,5223.47352537341,4351.57831156276,3620.92053046844,5065.81275852272,3620.92053046844
2006,"rural",4708.61276754053,4097.6146157375,4708.61276754053,5276.88180195461,5583.78806087792,5276.88180195461
2006,"small/mid",5103.2144539416,4676.81056567454,5103.2144539416,4979.50117823475,5042.90457479066,4979.50117823475
2006,"suburb",3764.98311835798,4169.00016981726,3764.98311835798,3185.29379413151,4840.08585496664,3185.29379413151
2006,"urban",4389.32062865688,5430.15638394755,4389.32062865688,3428.74075716968,4831.87141479174,3428.74075716968
2007,"rural",4524.32412791949,3854.28827105431,4524.32412791949,5254.09653418112,5504.7374849277,5254.09653418112
